Epochs,Normal Epoch Times,PAI Epoch Times
0,7.358936548233032,
1,3.175442695617676,
2,3.62567400932312,
3,3.406342029571533,
4,3.6243183612823486,
5,3.328643798828125,
6,3.3730387687683105,
7,3.7688732147216797,
8,3.5940427780151367,
9,3.7151567935943604,
10,3.695507049560547,
11,3.5562260150909424,
12,3.020303726196289,
13,3.516519069671631,
14,2.9899232387542725,
15,3.313594102859497,
16,3.085120677947998,
17,3.134554147720337,
18,3.4736082553863525,
19,3.584599494934082,
20,3.860773801803589,
21,4.512261629104614,
22,3.9949190616607666,
23,4.02771258354187,
24,3.8740198612213135,
25,3.9144530296325684,
26,4.677852392196655,
27,4.420259714126587,
28,3.5196189880371094,
29,4.225958585739136,
30,4.14870285987854,
31,4.17877197265625,
32,4.3990912437438965,
33,4.198110818862915,
